guests,bedrooms,beds,room_type,listing_type,latitude,longitude,city,superhost,num_reviews,rating_overall,photos_count,l90d_revenue
14.0,7.0,10.0,entire_home,Entire villa,-8.6867,115.1564,Seminyak,True,73.0,4.52,43.0,11007.0
6.0,3.0,3.0,entire_home,Entire villa,-8.6958,115.1725,Seminyak,True,152.0,4.72,21.0,5759.0
10.0,4.0,4.0,entire_home,Entire villa,-8.6927,115.1657,Seminyak,True,118.0,4.71,18.0,5110.0
8.0,4.0,5.0,entire_home,Entire villa,-8.6905,115.164,Seminyak,True,127.0,4.91,80.0,22294.0
14.0,7.0,8.0,entire_home,Entire villa,-8.6908,115.1632,Seminyak,True,6.0,4.8,63.0,16164.0
7.0,3.0,3.0,entire_home,Entire villa,-8.6949,115.1699,Seminyak,True,12.0,4.67,24.0,1734.0
4.0,2.0,2.0,entire_home,Entire villa,-8.6955,115.1685,Seminyak,True,402.0,4.73,12.0,6933.0
12.0,5.0,9.0,entire_home,Entire bungalow,-8.6896,115.1617,Seminyak,True,153.0,4.94,60.0,5508.0
2.0,1.0,1.0,entire_home,Entire villa,-8.6944,115.179,Seminyak,True,493.0,4.66,55.0,7352.0
6.0,3.0,3.0,entire_home,Entire villa,-8.6889,115.1677,Seminyak,True,118.0,4.72,37.0,846.0
4.0,2.0,2.0,entire_home,Entire villa,-8.6848,115.1632,Seminyak,True,329.0,4.84,54.0,3125.0
8.0,4.0,4.0,entire_home,Entire villa,-8.689,115.1649,Seminyak,True,182.0,4.8,83.0,9053.0
9.0,4.0,5.0,entire_home,Entire villa,-8.6875,115.1607,Seminyak,True,241.0,4.74,92.0,24808.0
9.0,3.0,5.0,entire_home,Entire villa,-8.6896,115.1723,Seminyak,True,152.0,4.71,230.0,8101.0
6.0,3.0,3.0,private_room,Private room in villa,-8.6975,115.1665,Seminyak,True,5.0,4.6,22.0,645.0
7.0,3.0,4.0,entire_home,Entire villa,-8.6873,115.1659,Seminyak,True,162.0,4.87,43.0,4467.0
2.0,1.0,1.0,private_room,Room in boutique hotel,-8.6879,115.1687,Seminyak,True,158.0,4.54,13.0,130.0
10.0,5.0,6.0,entire_home,Entire villa,-8.6935,115.1656,Seminyak,True,113.0,4.9,46.0,13597.0
4.0,2.0,2.0,entire_home,Entire villa,-8.6863,115.1632,Seminyak,True,232.0,4.71,48.0,3858.0
6.0,3.0,3.0,entire_home,Entire villa,-8.6843,115.1638,Seminyak,True,92.0,4.86,118.0,6764.0
8.0,4.0,4.0,entire_home,Entire villa,-8.6894,115.1655,Seminyak,True,36.0,4.64,42.0,3497.0
6.0,3.0,3.0,entire_home,Entire home,-8.6885,115.1594,Seminyak,True,21.0,4.57,43.0,0.0
3.0,1.0,1.0,private_room,Room in boutique hotel,-8.6906,115.1648,Seminyak,True,4.0,4.0,31.0,1644.0
6.0,2.0,3.0,entire_home,Entire villa,-8.6906,115.1648,Seminyak,True,8.0,4.13,17.0,4153.0
6.0,3.0,3.0,entire_home,Entire villa,-8.6932,115.1695,Seminyak,True,340.0,4.77,32.0,9995.0
4.0,2.0,2.0,entire_home,Entire home,-8.6927,115.166,Seminyak,True,229.0,4.57,25.0,3684.0
